,,,,,,rmse,rmse,rmse,msll,msll,msll,f1,f1,f1,precision,precision,precision,recall,recall,recall,avg_step_ms,avg_step_ms,avg_step_ms
,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
method,dataset,protocol,outlier_type,outlier_ratio,stream,,,,,,,,,,,,,,,,,,
guardgp,neal,vary-stream,uniform,0.5,,0.11397863374076926,0.009956756353222712,10,-1.979170153493855,0.13862415916523993,10,1.0,0.0,10,1.0,0.0,10,1.0,0.0,10,0.332822630291997,0.005207673993017684,10
guardgp,neal,vary-stream,uniform,0.6,,0.12196643056217157,0.023208767095245286,10,-1.8082564285877987,0.38522288977112235,10,0.9993360982111076,0.0016025239932350222,10,0.9986776750764778,0.0031899421568277317,10,1.0,0.0,10,0.29702790751521796,0.008050575015841983,10
guardgp,neal,vary-stream,uniform,0.7,,0.12250534726268696,0.013681833551381738,10,-1.9413961662897563,0.15630796157235294,10,0.999286733238231,0.0007518491821608368,10,0.9985754985754985,0.0015015563438596133,10,1.0,0.0,10,0.1758575341765485,0.0715270700283141,10
guardgp,neal,vary-stream,uniform,0.8,,0.11600596243583332,0.020157937674836233,10,-2.039638959642937,0.2938974227473106,10,1.0,0.0,10,1.0,0.0,10,1.0,0.0,10,0.10261721309254186,0.04170302344991886,10
rcgp,franka,fixed-stream,,,franka1_labeled.csv,0.2265319482146738,0.0012136316559097575,10,47.23507969199463,2.500744310246291,10,,,0,,,0,,,0,0.20608741363772193,0.003059753224604374,10
rcgp,franka,fixed-stream,,,franka2_labeled.csv,0.2767117128836417,0.011770205533946511,10,107.55344558295079,12.918739228843958,10,,,0,,,0,,,0,0.20515962507586244,0.003867207825877135,10
rcgp,franka,fixed-stream,,,franka3_labeled.csv,0.24674303796016167,0.001986595430933059,10,28.39937454310609,1.9407510359077773,10,,,0,,,0,,,0,0.20431918556016848,0.0018688154335864003,10
rcgp,franka,fixed-stream,,,franka4_labeled.csv,0.4212112165954169,0.014656047054178317,10,304.9956526802224,16.903542323013347,10,,,0,,,0,,,0,0.2085739669626488,0.0048464946129210444,10
rcgp,franka,fixed-stream,,,franka5_labeled.csv,0.1949816924810244,0.0022716213693810216,10,157.4569023860582,5.420647081038495,10,,,0,,,0,,,0,0.20849580343623692,0.005233739357530796,10
rcgp,franka,fixed-stream,,,franka6_labeled.csv,0.25347014269959045,0.008093733837583546,10,1020.3183355202294,126.98001189821368,10,,,0,,,0,,,0,0.21906952482071868,0.016850871331580586,10
rcgp,franka,fixed-stream,,,franka7_labeled.csv,0.01650623776053345,0.0015854193239531029,10,73.16964266588106,18.368972691666592,10,,,0,,,0,,,0,0.2078659074313951,0.004049720104134,10
rcgp,neal,fixed-stream,asymmetric,0.1,,0.09700070549930685,4.640833356846473e-07,10,-1.8954081724286655,9.263534286898748e-06,10,,,0,,,0,,,0,0.1297922250713505,0.0009254301424306376,10
rcgp,neal,fixed-stream,asymmetric,0.4,,0.3657754683794018,4.39758103689082e-06,10,-0.8271766538448574,2.1464713267463067e-05,10,,,0,,,0,,,0,0.1300739328903348,0.0009228541903598565,10
rcgp,neal,fixed-stream,asymmetric,0.8,,2.9271700666878138,7.426352811110308e-07,10,50.183469196766474,0.0012791376107907323,10,,,0,,,0,,,0,0.12941590064893593,0.000575605250091179,10
rcgp,neal,fixed-stream,focused,0.1,,0.12869937984114152,5.103555309877019e-07,10,-1.6058311301891213,5.95506247706753e-06,10,,,0,,,0,,,0,0.12988401836913038,0.0007240475390374698,10
rcgp,neal,fixed-stream,focused,0.4,,1.5434127675521319,6.291552580725383e-07,10,18.557791707583586,0.00019467927363647073,10,,,0,,,0,,,0,0.12968488206514964,0.0008499449989796513,10
rcgp,neal,fixed-stream,focused,0.8,,2.2515873627585847,4.2778196141131507e-07,10,50.666387385387765,0.0016726334884954526,10,,,0,,,0,,,0,0.13050648794413297,0.0011463343807306156,10
rcgp,neal,fixed-stream,uniform,0.1,,0.0934502370818291,3.4618935502019464e-07,10,-1.779197377735867,9.007371204694387e-06,10,,,0,,,0,,,0,0.12997488271060356,0.0004562431829871703,10
rcgp,neal,fixed-stream,uniform,0.4,,0.14112508877543978,2.1835414839147942e-07,10,-1.5376537668356343,7.730394325010747e-06,10,,,0,,,0,,,0,0.1297202480845558,0.0008998847495526642,10
rcgp,neal,fixed-stream,uniform,0.8,,1.4769991445981048,2.1289035135425736e-05,10,10.101614531224971,0.0005444123664099363,10,,,0,,,0,,,0,0.13015828926733733,0.0007173569769050619,10
rcgp,neal,vary-stream,asymmetric,0.1,,0.09925498396716514,0.01761286919058549,10,-1.8089688298562003,0.11187781095917192,10,,,0,,,0,,,0,0.12776673601879535,0.001067458785522284,10
rcgp,neal,vary-stream,asymmetric,0.2,,0.1393052935402534,0.03397465022409485,10,-1.7036230299601836,0.06353869692078004,10,,,0,,,0,,,0,0.1276437705572512,0.0006522899153169951,10
rcgp,neal,vary-stream,asymmetric,0.3,,0.17999441246739378,0.019945511027670376,10,-1.6740505061104591,0.08189695723702745,10,,,0,,,0,,,0,0.12790224364320946,0.0005467682068011561,10
rcgp,neal,vary-stream,asymmetric,0.4,,0.3410231960483141,0.10125115831675853,10,-0.9806426099034626,0.5243668464999595,10,,,0,,,0,,,0,0.12805452483640373,0.000584356254103814,10
rcgp,neal,vary-stream,asymmetric,0.5,,1.1294896536209056,0.41831442178460404,10,8.586509591323635,6.313408802179541,10,,,0,,,0,,,0,0.12819337418161164,0.0008373618713961143,10
rcgp,neal,vary-stream,asymmetric,0.6,,2.206904020753321,0.2894864371633635,10,42.99431573643991,11.871482228134987,10,,,0,,,0,,,0,0.1280195699528912,0.0006467505053772523,10
rcgp,neal,vary-stream,asymmetric,0.7,,2.7647923510709242,0.09996892871272589,10,77.26928751629131,18.806542895070102,10,,,0,,,0,,,0,0.12861973494696227,0.0013789942738716627,10
rcgp,neal,vary-stream,asymmetric,0.8,,3.01511628498314,0.07968051925849658,10,96.75227713161527,19.474955787309067,10,,,0,,,0,,,0,0.1282664945313666,0.0006007558755651705,10
rcgp,neal,vary-stream,focused,0.1,,0.14383041134148816,0.030891433487797323,10,-1.6990842510295974,0.10048034088868228,10,,,0,,,0,,,0,0.12902654961773957,0.001666409969502277,10
rcgp,neal,vary-stream,focused,0.2,,0.6765195573087779,0.3312582425626222,10,4.594996732771891,5.354982328949084,10,,,0,,,0,,,0,0.1282963602937778,0.0006596734451020981,10
rcgp,neal,vary-stream,focused,0.3,,1.2677454356595397,0.20520221266899247,10,19.031674908870684,6.948032173767492,10,,,0,,,0,,,0,0.12870911470837076,0.0006290374190234385,10
rcgp,neal,vary-stream,focused,0.4,,1.5919801610492892,0.05617190096065596,10,28.908464047404493,8.858817146420863,10,,,0,,,0,,,0,0.1284743269017148,0.0008723403349185494,10
rcgp,neal,vary-stream,focused,0.5,,1.817797757602023,0.06695543268097735,10,42.456113763445316,19.755038475303287,10,,,0,,,0,,,0,0.12829003267815212,0.0008310994469358425,10
rcgp,neal,vary-stream,focused,0.6,,1.9960141676988887,0.04275483298368836,10,50.28166585618211,20.324913135306616,10,,,0,,,0,,,0,0.1281509766261518,0.0005138859407436179,10
rcgp,neal,vary-stream,focused,0.7,,2.152825562550217,0.06783591173268233,10,57.043159668506995,12.363882277787372,10,,,0,,,0,,,0,0.12800615764875975,0.000988813272260547,10
rcgp,neal,vary-stream,focused,0.8,,2.3026877749833146,0.0455031151120323,10,63.45760711063605,17.822241169324503,10,,,0,,,0,,,0,0.12707033705816642,0.000586599844739521,10
rcgp,neal,vary-stream,uniform,0.1,,0.10012537775929156,0.005322356320660482,10,-1.7847269596583986,0.07127454761486333,10,,,0,,,0,,,0,0.12721419678596046,0.0003349283535797444,10
rcgp,neal,vary-stream,uniform,0.2,,0.10859572889764288,0.012271398654026976,10,-1.7990870294628643,0.08538974245130863,10,,,0,,,0,,,0,0.12707831158363458,0.0007027837308350442,10
rcgp,neal,vary-stream,uniform,0.3,,0.13093648927413643,0.020454744924668714,10,-1.779848629095635,0.1283612697621707,10,,,0,,,0,,,0,0.1271889097710221,0.00030072770188922516,10
