row_type,agent,tau_k,name,rmse,nll,msll,avg_step_ms,avg_pred_ms,avg_detect_ms,avg_upd_ms,route_main,route_critic,alarms,tp,fp,fn,tn,precision,recall,f1,time,t,y_obs,y_true_gt,mu,var,sigma,lab_curr,route,pred_alarm,gt_anomaly,w_evt,rolled_m,rolled_c
detail,1,1,,,,,,,,,,,,,,,,,,,1168.0,1168.0,-0.728442974,-0.534318859,-0.5332448063706816,0.0012022900972057382,0.03467405510184435,uncertain,critic,0.0,0.0,0.4503727632420761,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1169.0,1169.0,-0.727878798,-0.538190058,-0.5420394984577446,0.001144144963034947,0.033825211943681106,uncertain,critic,0.0,0.0,0.5121174939472894,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1170.0,1170.0,-0.597237022,-0.539370997,-0.5446481900107415,0.0011037738487345166,0.03322309210074397,clean,main,0.0,0.0,0.4879070793450976,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1171.0,1171.0,-0.621322076,-0.541010019,-0.5475589264276416,0.0010900664296468238,0.03301615407110319,clean,main,0.0,0.0,0.15143455081760393,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1172.0,1172.0,-0.567178539,-0.541533389,-0.5508320198470309,0.0010803436987954116,0.03286858224498604,clean,main,0.0,0.0,0.20392548829301793,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1173.0,1173.0,-0.569604285,-0.542094807,-0.5540522654044435,0.0010596105059161277,0.03255165903477314,clean,main,0.0,0.0,0.04807832682716884,1.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1174.0,1174.0,-0.591843246,-0.543089776,-0.548461688702441,0.00110736905917031,0.03327715521450579,clean,main,0.0,0.0,0.04363400804852213,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1175.0,1175.0,-0.593060624,-0.544089193,-0.5499015557054013,0.0010869826010612826,0.032969419179920086,clean,main,0.0,0.0,0.16989992256327657,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1176.0,1176.0,-0.579972834,-0.544806866,-0.5537518903520154,0.0010455876690527886,0.03233554807101294,clean,main,0.0,0.0,0.17221128653160755,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1177.0,1177.0,-0.491263845,-0.543736005,-0.5686934916484475,0.0010675197078998488,0.032672920100594756,clean,main,0.0,0.0,0.10672324415570844,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1178.0,1178.0,-0.366087938,-0.540183044,-0.578309226862357,0.001328234779370516,0.03644495547219829,attack,alarm,1.0,0.0,0.2963748293575842,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1179.0,1179.0,-0.325409728,-0.535887578,-0.585341362772963,0.001663048895609327,0.04078049651008834,attack,alarm,1.0,0.0,0.685836989055132,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1180.0,1180.0,-0.261395846,-0.530397743,-0.5797696319957351,0.0023153789568323402,0.04811838481113368,attack,alarm,1.0,0.0,0.7794014770614772,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1181.0,1181.0,-0.320018996,-0.526190168,-0.5672967513284329,0.0035630047718390842,0.05969091029494427,attack,alarm,1.0,0.0,0.8612807673322668,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1182.0,1182.0,-0.377450855,-0.523215382,-0.5619154557307865,0.004799772006815911,0.06928038688413851,uncertain,critic,0.0,0.0,0.7519379665478072,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1183.0,1183.0,-0.339105376,-0.519533182,-0.5611186618098908,0.006475036028634214,0.0804676085678841,attack,alarm,1.0,0.0,0.5669514215581928,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1184.0,1184.0,-0.382128064,-0.516785079,-0.565021292624459,0.007709251087638201,0.08780234101456635,uncertain,critic,0.0,0.0,0.6479980402045777,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1185.0,1185.0,-0.449652645,-0.515442431,-0.5734105414622546,0.006188550815237746,0.0786673427493121,uncertain,critic,0.0,0.0,0.5358951902560671,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1186.0,1186.0,-0.628334986,-0.517700282,-0.5829924673187995,0.003389952629252956,0.0582232997111376,clean,main,0.0,0.0,0.377739132460717,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1187.0,1187.0,-0.957373211,-0.52649374,-0.5796504244324414,0.0017362356421008343,0.041668161011746536,attack,alarm,1.0,1.0,0.14868112874409245,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1188.0,1188.0,-1.110660402,-0.538177074,-0.5825082289619418,0.0022523369958758676,0.047458792608702845,attack,alarm,1.0,1.0,0.8725672314737409,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1189.0,1189.0,-1.095558727,-0.549324707,-0.5816884000081097,0.0026684786442986797,0.051657319368107746,attack,alarm,1.0,1.0,0.9672950427995567,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1190.0,1190.0,-0.829634159,-0.554930896,-0.5883532096694672,0.0024879580428117942,0.049879435069092294,attack,alarm,1.0,0.0,0.9622806649778408,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1191.0,1191.0,-0.516339206,-0.554159062,-0.5859696770640109,0.0022076835927036867,0.046985993580041345,clean,main,0.0,0.0,0.6873680586349147,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1192.0,1192.0,-0.236862731,-0.547813135,-0.5824998425629071,0.001783989530023669,0.04223730022176689,attack,alarm,1.0,0.0,0.20367659387175308,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1193.0,1193.0,-0.190179994,-0.540660472,-0.5809913488098342,0.0016530600082248533,0.040657840673415664,attack,alarm,1.0,1.0,0.8365868983705737,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1194.0,1194.0,-0.11722158,-0.532191695,-0.5817330030128091,0.0017772819549184992,0.04215782198973874,attack,alarm,1.0,1.0,0.8858032200730833,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1195.0,1195.0,-0.194874812,-0.525445357,-0.5761107350362933,0.001887291696972104,0.04344297062784846,attack,alarm,1.0,0.0,0.9398505566126185,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1196.0,1196.0,-0.31285112,-0.521193472,-0.580818579141952,0.0018630268452322358,0.043162794687464756,attack,alarm,1.0,0.0,0.8791018521381749,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1197.0,1197.0,-0.334921545,-0.517468034,-0.587047296807962,0.001870752717334887,0.04325219898843164,attack,alarm,1.0,0.0,0.7280484818427595,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1198.0,1198.0,-0.377593811,-0.514670549,-0.5944829505084519,0.0019073063733706652,0.04367271886854155,uncertain,critic,0.0,0.0,0.6986389855291553,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1199.0,1199.0,-0.459156111,-0.51356026,-0.603166691406352,0.002125440870627742,0.04610250395182177,uncertain,critic,0.0,0.0,0.6017864261876384,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1200.0,1200.0,-0.431582615,-0.511920708,-0.6141352720811907,0.002673682356022199,0.051707662449797506,uncertain,critic,0.0,0.0,0.4199895172493563,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1201.0,1201.0,-0.603622127,-0.513754736,-0.6147206063682668,0.0030943264966752444,0.05562667073154068,clean,main,0.0,0.0,0.49627533283425007,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1202.0,1202.0,-0.668982157,-0.516859284,-0.6085878157761545,0.002688116064679228,0.05184704489823145,clean,main,0.0,0.0,0.03670205513641134,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1203.0,1203.0,-0.749566861,-0.521513436,-0.6038254168806758,0.0021956515207902758,0.046857779725359115,uncertain,critic,0.0,0.0,0.17413485438823517,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1204.0,1204.0,-0.80461898,-0.527175547,-0.5973232052179746,0.0018714418016137846,0.04326016414224274,uncertain,critic,0.0,0.0,0.40175094094974995,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1205.0,1205.0,-0.801093723,-0.53265391,-0.588949501890197,0.001646815709504006,0.04058097718764305,uncertain,critic,0.0,0.0,0.5353323891038468,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1206.0,1206.0,-0.750013031,-0.537001093,-0.5880655367952976,0.001534353596452187,0.039170825833165515,uncertain,critic,0.0,0.0,0.5329482262143931,0.0,1.0
detail,1,1,,,,,,,,,,,,,,,,,,,1207.0,1207.0,-0.597297027,-0.538207011,-0.5886692941308196,0.0014744695681693227,0.03839882248415077,clean,main,0.0,0.0,0.4145316874800017,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1208.0,1208.0,-0.57615939,-0.538966059,-0.5953089535869605,0.0015221877927192456,0.03901522513992769,clean,main,0.0,0.0,0.029105242435261913,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1209.0,1209.0,-0.612763686,-0.540442012,-0.5983195066139135,0.0015887469851240262,0.03985908911558349,clean,main,0.0,0.0,0.04913747751950248,0.0,0.0
detail,1,1,,,,,,,,,,,,,,,,,,,1210.0,1210.0,-0.603315973,-0.541699491,-0.6040389797845891,0.0016648748929890237,0.04080287848901133,clean,main,0.0,0.0,0.038304815288972116,0.0,0.0
