series,family,split,method,config,seed,warmup,n,sliding_window,n_anom_eval,elapsed_s,AUC_PR,AUC_ROC,PointF1_opt,VUS_PR,VUS_ROC,precision,recall,F1,tp,fp,fn
021_NAB_id_21_WebService_tr_500_1st_565.csv,NAB,tuning,spot,q0.001_d50,0,500,1623,24,160,0.2,0.1411055524754048,0.4552310488058151,0.2507815057040723,0.1475903060796112,0.4997036204139808,0.25,0.025,0.0454545454545454,4.0,12.0,156.0
022_NAB_id_22_Facility_tr_1007_1st_2980.csv,NAB,eva,spot,q0.001_d50,0,500,4031,4,520,0.2,0.4235167836248769,0.8247608129167412,0.5720063002491661,0.422737633660969,0.8269273761561591,0.4380853277835588,0.8096153846153846,0.5685347738014855,421.0,540.0,99.0
023_NAB_id_23_Facility_tr_4512_1st_16551.csv,NAB,eva,spot,q0.001_d50,0,500,18049,12,1498,2.0,0.3547252831318202,0.7540786839412656,0.3183079134059018,0.3517071138454062,0.7547726931412946,0.2478632478632478,0.3097463284379172,0.2753709198813057,464.0,1408.0,1034.0
024_NAB_id_24_Synthetic_tr_1007_1st_2787.csv,NAB,eva,spot,q0.001_d50,0,500,4031,288,513,0.2,0.3526767760618782,0.5329510913724929,0.3478232136343221,0.3918106260410834,0.6281985787137241,0.9310344827586208,0.2105263157894736,0.3434022257551669,108.0,8.0,405.0
025_NAB_id_25_WebService_tr_3958_1st_4614.csv,NAB,eva,spot,q0.001_d50,0,500,15832,16,1580,0.1,0.1078903607890316,0.4982653386204814,0.187187516086892,0.1064318611819573,0.5011636118593352,0.25,0.0037974683544303,0.0074812967581047,6.0,18.0,1574.0
026_NAB_id_26_Traffic_tr_624_1st_2261.csv,NAB,eva,spot,q0.001_d50,0,500,2499,8,238,0.1,0.1626023266837155,0.5678901884433502,0.2268826117500132,0.1567661205044009,0.5700061929959058,0.3333333333333333,0.0126050420168067,0.0242914979757085,3.0,6.0,235.0
027_NAB_id_27_Facility_tr_757_1st_2582.csv,NAB,eva,spot,q0.001_d50,0,500,3031,5,200,0.1,0.1346543442895147,0.5503946803946804,0.1972643611839951,0.1337543928599642,0.5537476548414916,0.4166666666666667,0.05,0.0892857142857142,10.0,14.0,190.0
028_NAB_id_28_Facility_tr_1007_1st_3447.csv,NAB,eva,spot,q0.001_d50,0,500,4031,289,430,0.2,0.1544323283599238,0.5257771311579911,0.2280750023810878,0.2083255450188554,0.6195451809643304,0.2142857142857142,0.0069767441860465,0.0135135135135135,3.0,11.0,427.0
551_YAHOO_id_1_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,105,1,0.1,0.0017482517482517,0.3793478260869565,0.0034903665534089,0.0235803731521319,0.8644139778196561,0.0,0.0,0.0,0.0,19.0,1.0
552_YAHOO_id_2_Synthetic_tr_500_1st_893.csv,YAHOO,eva,spot,q0.001_d50,0,500,1421,100,1,0.1,1.0,1.0,0.999995000025,1.0,1.0,0.0625,1.0,0.1176470588235294,1.0,15.0,0.0
