seed,warmup,outlier_type,rmse,msll,f1,precision,recall,part,warmup_contam
7,40,asymmetric,1.5598385410124578,2.7935994261439685,0.0,0.0,0.0,contam,0.2
8,40,asymmetric,1.5375691793524808,4.323354701666856,0.0,0.0,0.0,contam,0.2
9,40,asymmetric,1.3256791368805974,2.829787565677,0.0,0.0,0.0,contam,0.2
0,40,uniform,0.6836771316086343,-0.2547068343208391,0.0,0.0,0.0,contam,0.2
1,40,uniform,0.9364638622500656,0.031434180546096355,0.0,0.0,0.0,contam,0.2
2,40,uniform,0.8987113652513233,1.9955900427319595,0.0,0.0,0.0,contam,0.2
3,40,uniform,1.1126819823199778,0.36386072931925967,0.0,0.0,0.0,contam,0.2
4,40,uniform,0.8086083855969155,0.7829050310113003,0.0,0.0,0.0,contam,0.2
5,40,uniform,0.9903548790149174,0.1604880401171592,0.009950248756218907,1.0,0.005,contam,0.2
6,40,uniform,0.7679361552435459,0.08911283947830417,0.0,0.0,0.0,contam,0.2
7,40,uniform,0.8245416558654274,0.13936840000658016,0.0,0.0,0.0,contam,0.2
8,40,uniform,0.858496530478155,0.5081832728868186,0.0,0.0,0.0,contam,0.2
9,40,uniform,0.6896172125210135,-0.15756598949730496,0.0,0.0,0.0,contam,0.2
0,40,asymmetric,1.6823774919698469,3.806578918636184,0.0,0.0,0.0,contam,0.3
1,40,asymmetric,1.6451104661079914,2.217707148168461,0.019801980198019802,1.0,0.01,contam,0.3
2,40,asymmetric,1.4290183685488425,1.046415216242451,0.0,0.0,0.0,contam,0.3
3,40,asymmetric,1.4958775414099257,3.842251165298207,0.0,0.0,0.0,contam,0.3
4,40,asymmetric,1.4141027646918154,2.437129512679515,0.0,0.0,0.0,contam,0.3
5,40,asymmetric,1.7967070529477658,4.978404030450973,0.0,0.0,0.0,contam,0.3
6,40,asymmetric,1.4206660900243973,1.9457433065035779,0.0,0.0,0.0,contam,0.3
7,40,asymmetric,1.401912515198245,2.485205975977513,0.0,0.0,0.0,contam,0.3
8,40,asymmetric,1.5539363279800174,6.22752595656797,0.0,0.0,0.0,contam,0.3
9,40,asymmetric,1.3757988195584714,2.88673298341115,0.0,0.0,0.0,contam,0.3
0,40,uniform,0.9121737954585767,0.3088074193148114,0.009950248756218907,1.0,0.005,contam,0.3
1,40,uniform,1.3580516559987341,0.7787173318935848,0.009950248756218907,1.0,0.005,contam,0.3
2,40,uniform,0.9632679108844496,0.19105199643230522,0.019801980198019802,1.0,0.01,contam,0.3
3,40,uniform,0.8550599048320512,0.06088144719965344,0.009950248756218907,1.0,0.005,contam,0.3
4,40,uniform,0.9784483819173421,0.15504304573338426,0.0,0.0,0.0,contam,0.3
5,40,uniform,1.1366342054100742,0.3104970681021788,0.0,0.0,0.0,contam,0.3
6,40,uniform,1.1677792662173632,0.492166471500576,0.009950248756218907,1.0,0.005,contam,0.3
7,40,uniform,1.0415946120843413,0.2874044495897246,0.0,0.0,0.0,contam,0.3
8,40,uniform,0.9649497262431153,0.14056745044037122,0.0,0.0,0.0,contam,0.3
9,40,uniform,0.8401684104132247,0.04280282680891536,0.0,0.0,0.0,contam,0.3
